id;screenshot;timestamp;header;header_txt;ground_truth
1;1_img.png;10:00:29;Odoo - Discuss;1_ocr.txt;1
2;2_img.png;10:00:31;Odoo - Invoices;2_ocr.txt;2
3;3_img.png;10:00:33;Odoo - Customer Payments;3_ocr.txt;3
4;4_img.png;10:00:35;Odoo - Draft Payment;4_ocr.txt;4
5;5_img.png;10:00:37;Odoo - PBNK1/2024/00023;5_ocr.txt;5
6;6_img.png;10:00:39;Odoo - INV/2024/00008;6_ocr.txt;6
7;7_img.png;10:00:41;Odoo - INV/2024/00008;7_ocr.txt;6
8;8_img.png;10:00:43;Odoo - Discuss;8_ocr.txt;1
9;9_img.png;10:00:45;Odoo - Invoices;9_ocr.txt;2
10;10_img.png;10:00:47;Odoo - Customer Payments;10_ocr.txt;3
11;11_img.png;10:00:49;Odoo - Draft Payment;11_ocr.txt;4
12;12_img.png;10:00:51;Odoo - PBNK1/2024/00024;12_ocr.txt;5
13;13_img.png;10:00:53;Odoo - INV/2024/00006;13_ocr.txt;6
14;14_img.png;10:00:55;Odoo - INV/2024/00006;14_ocr.txt;6
15;15_img.png;10:00:57;Odoo - Discuss;15_ocr.txt;1
16;16_img.png;10:00:59;Odoo - Invoices;16_ocr.txt;2
17;17_img.png;10:01:01;Odoo - Customers;17_ocr.txt;7
18;18_img.png;10:01:03;Odoo - Customer View;18_ocr.txt;8
19;19_img.png;10:01:05;Odoo - Discuss;19_ocr.txt;1
20;20_img.png;10:01:07;Odoo - Invoices;20_ocr.txt;2
21;21_img.png;10:01:09;Odoo - Customer Payments;21_ocr.txt;3
22;22_img.png;10:01:11;Odoo - Draft Payment;22_ocr.txt;4
23;23_img.png;10:01:13;Odoo - PBNK1/2024/00025;23_ocr.txt;5
24;24_img.png;10:01:15;Odoo - INV/2024/00004;24_ocr.txt;6
25;25_img.png;10:01:17;Odoo - INV/2024/00004;25_ocr.txt;6
26;26_img.png;10:01:19;Odoo - Discuss;26_ocr.txt;1
27;27_img.png;10:01:21;Odoo - Invoices;27_ocr.txt;2
28;28_img.png;10:01:23;Odoo - Customers;28_ocr.txt;7
29;29_img.png;10:01:25;Odoo - Customer View;29_ocr.txt;8
30;30_img.png;10:01:27;Odoo - Discuss;30_ocr.txt;1
31;31_img.png;10:01:29;Odoo - Invoices;31_ocr.txt;2
32;32_img.png;10:01:31;Odoo - Customer Payments;32_ocr.txt;3
33;33_img.png;10:01:33;Odoo - Draft Payment;33_ocr.txt;4
34;34_img.png;10:01:35;Odoo - PBNK1/2024/00026;34_ocr.txt;5
35;35_img.png;10:01:37;Odoo - INV/2024/00009;35_ocr.txt;6
36;36_img.png;10:01:39;Odoo - INV/2024/00009;36_ocr.txt;6
37;37_img.png;10:01:41;Odoo - Discuss;37_ocr.txt;1
38;38_img.png;10:01:43;Odoo - Invoices;38_ocr.txt;2
39;39_img.png;10:01:45;Odoo - Customers;39_ocr.txt;7
40;40_img.png;10:01:47;Odoo - Customer View;40_ocr.txt;8
41;41_img.png;10:01:49;Odoo - Discuss;41_ocr.txt;1
42;42_img.png;10:01:51;Odoo - Invoices;42_ocr.txt;2
43;43_img.png;10:01:53;Odoo - Customer Payments;43_ocr.txt;3
44;44_img.png;10:01:55;Odoo - Draft Payment;44_ocr.txt;4
45;45_img.png;10:01:57;Odoo - PBNK1/2024/00027;45_ocr.txt;5
46;46_img.png;10:01:59;Odoo - INV/2024/00005;46_ocr.txt;6
47;47_img.png;10:02:01;Odoo - INV/2024/00005;47_ocr.txt;6
48;48_img.png;10:02:03;Odoo - Discuss;48_ocr.txt;1
49;49_img.png;10:02:05;Odoo - Invoices;49_ocr.txt;2
50;50_img.png;10:02:07;Odoo - Customers;50_ocr.txt;7
51;51_img.png;10:02:09;Odoo - Customer View;51_ocr.txt;8
52;52_img.png;10:02:11;Odoo - Discuss;52_ocr.txt;1
53;53_img.png;10:02:13;Odoo - Invoices;53_ocr.txt;2
54;54_img.png;10:02:15;Odoo - Customer Payments;54_ocr.txt;3
55;55_img.png;10:02:17;Odoo - Draft Payment;55_ocr.txt;4
56;56_img.png;10:02:19;Odoo - PBNK1/2024/00029;56_ocr.txt;5
57;57_img.png;10:02:23;Odoo - INV/2024/00001;57_ocr.txt;6
58;58_img.png;10:02:30;Odoo - INV/2024/00001;58_ocr.txt;6
