id,screenshot,timestamp,header,header_txt,combined_features,activity_label,process_id,case:concept:name,concept:name,time:timestamp
1,1_img.png,2024-05-10 10:00:29+00:00,Odoo - Discuss,1_ocr.txt,"[-0.00399058 -0.00252308  0.00155621 ...  0.01465691 -0.00375801
  0.01883252]",7,1,1,7,2024-05-10 10:00:29+00:00
2,2_img.png,2024-05-10 10:00:31+00:00,Odoo - Invoices,2_ocr.txt,"[-0.00400803 -0.0171819  -0.00296738 ...  0.01362255  0.02914246
  0.015286  ]",4,1,1,4,2024-05-10 10:00:31+00:00
3,3_img.png,2024-05-10 10:00:33+00:00,Odoo - Customer Payments,3_ocr.txt,"[-0.00641354 -0.01040111 -0.00498518 ...  0.0151419   0.02397895
  0.0278882 ]",5,1,1,5,2024-05-10 10:00:33+00:00
4,4_img.png,2024-05-10 10:00:35+00:00,Odoo - Draft Payment,4_ocr.txt,"[-0.0042819  -0.02335245 -0.00532823 ...  0.01196227  0.02009823
  0.01838724]",3,1,1,3,2024-05-10 10:00:35+00:00
5,5_img.png,2024-05-10 10:00:37+00:00,Odoo - PBNK1/2024/00023,5_ocr.txt,"[-0.00238811 -0.02280278 -0.00366242 ... -0.00059347  0.00350571
  0.01552894]",1,1,1,1,2024-05-10 10:00:37+00:00
6,6_img.png,2024-05-10 10:00:39+00:00,Odoo - INV/2024/00008,6_ocr.txt,"[ 0.00546934 -0.01536298 -0.0008156  ...  0.01208646  0.01057584
  0.01106604]",0,1,1,0,2024-05-10 10:00:39+00:00
8,8_img.png,2024-05-10 10:00:43+00:00,Odoo - Discuss,8_ocr.txt,"[-0.00399058 -0.00252308  0.00155621 ...  0.01465691 -0.00375801
  0.01883252]",7,2,2,7,2024-05-10 10:00:43+00:00
9,9_img.png,2024-05-10 10:00:45+00:00,Odoo - Invoices,9_ocr.txt,"[ 7.2185190e-05 -1.5689231e-02 -3.4366909e-03 ...  1.3622552e-02
  2.9142456e-02  1.5285997e-02]",4,2,2,4,2024-05-10 10:00:45+00:00
10,10_img.png,2024-05-10 10:00:47+00:00,Odoo - Customer Payments,10_ocr.txt,"[-0.00836604 -0.01048065 -0.00474179 ...  0.0151419   0.02397895
  0.0278882 ]",5,2,2,5,2024-05-10 10:00:47+00:00
11,11_img.png,2024-05-10 10:00:49+00:00,Odoo - Draft Payment,11_ocr.txt,"[-0.00170316 -0.0230275  -0.00543056 ...  0.01196227  0.02009823
  0.01838724]",3,2,2,3,2024-05-10 10:00:49+00:00
